blue_gold,blue_dragons,blue_towers_destroyed,blue_kills,blue_total_level,red_gold,red_dragons,red_towers_destroyed,red_kills,red_total_level,game_duration,win
30012,0,1,12,49,33349,2,2,14,51,1008,0
22617,0,0,4,43,35890,0,6,24,49,911,0
39688,1,5,19,56,33271,2,1,9,55,1187,1
24137,0,0,5,44,33559,1,4,15,50,958,0
59750,1,4,34,72,59744,3,7,31,72,1751,0
33529,1,2,19,49,24557,0,0,7,44,932,1
70995,2,9,33,79,62390,2,3,28,76,1941,1
48662,1,3,17,66,55588,3,7,31,69,1710,0
59107,1,11,27,72,44729,2,2,13,64,1538,1
48373,0,2,18,67,61363,3,8,29,74,1587,0
2505,0,0,0,5,2500,0,0,0,5,105,1
25847,0,1,7,44,33233,1,3,22,48,918,0
48190,0,6,19,67,40474,1,4,10,59,1362,1
47894,1,4,24,66,41388,2,2,15,64,1364,1
48547,0,1,26,65,60358,3,8,39,73,1591,0
37536,1,3,29,53,28269,0,0,13,46,943,1
37068,1,2,14,56,42250,2,4,21,59,1248,0
57152,1,2,10,75,73109,4,11,27,83,1959,0
42958,1,3,12,60,53114,1,9,34,69,1470,0
68977,2,7,26,81,72320,3,9,40,84,2116,0
36531,1,3,23,52,27195,0,0,12,45,972,1
29484,1,2,12,49,25477,1,0,6,47,919,1
41151,0,0,18,64,55344,3,10,30,72,1448,0
33109,1,4,17,50,21865,0,1,4,42,914,1
23369,0,0,3,45,33731,1,5,17,51,923,0
67864,2,7,42,80,62538,2,5,27,76,1950,1
65413,3,9,38,79,58593,1,1,26,75,1839,1
66078,1,1,29,84,79839,4,11,47,87,2140,0
14591,0,0,7,31,10089,0,0,1,26,481,1
42025,1,8,21,57,33732,0,1,12,50,1141,1
38997,0,1,12,57,48055,2,4,27,64,1395,0
32850,1,3,15,52,27047,0,0,9,48,970,1
45692,1,4,19,62,56942,2,10,34,73,1493,0
45684,0,6,19,61,33322,2,0,7,56,1266,1
66778,3,8,38,81,61425,1,6,23,73,1903,1
30698,1,2,14,49,23963,0,0,5,47,954,1
37397,0,6,26,50,22201,0,0,4,44,922,1
56526,2,11,30,74,43571,1,0,14,66,1525,1
66478,1,7,23,83,62502,3,4,15,79,2087,1
42311,2,1,10,66,56324,2,11,26,74,1558,0
35068,0,4,17,50,27604,1,0,12,45,956,1
51293,0,4,29,64,54810,3,8,24,69,1625,0
64073,2,7,37,76,51510,2,3,27,69,1743,1
55185,1,8,30,69,45941,2,3,18,63,1593,1
48256,0,2,47,69,42098,0,1,29,64,736,1
41583,0,0,30,61,49627,0,4,39,66,718,0
34243,2,4,15,51,26905,0,0,9,47,951,1
42392,1,4,30,55,32078,0,0,13,49,1138,1
42021,1,4,26,60,37937,1,2,23,53,1225,1
33737,0,1,14,50,40280,2,5,21,55,1100,0
46841,2,3,21,64,55511,1,8,22,71,1606,0
78785,3,11,41,86,72509,1,3,36,83,2123,1
49165,2,3,28,63,60131,1,8,35,73,1630,0
61166,0,2,22,78,74544,4,11,43,86,2033,0
62589,2,5,23,76,66251,2,7,38,82,1860,0
60425,0,4,21,75,67968,4,9,31,82,2008,0
49894,1,4,26,69,38586,1,1,9,60,1409,1
70921,2,9,38,82,59668,2,3,29,74,1945,1
57588,3,5,32,76,59872,1,7,23,76,1880,1
70800,0,4,62,90,62114,0,1,39,87,1177,1
61069,2,9,34,74,50196,2,2,21,67,1646,1
34191,0,4,18,47,22109,0,0,5,40,912,1
32251,0,1,10,51,39586,2,5,19,58,1102,0
52996,1,7,19,71,43194,2,2,11,63,1508,1
61231,2,5,27,73,64700,2,9,31,76,1821,0
38053,1,3,20,55,31508,1,0,10,52,1101,1
41247,1,5,25,56,31382,0,1,11,52,1115,1
50782,2,4,26,65,58137,2,9,31,70,1647,0
31808,0,0,9,52,39499,2,4,17,56,1128,0
32781,1,0,13,53,41973,1,5,20,56,1218,0
53624,2,10,27,70,41441,0,3,8,61,1397,1
9877,0,0,5,20,7357,0,0,2,17,297,1
43652,0,5,36,58,32833,1,2,14,51,1124,1
54703,0,3,30,70,62052,3,11,43,73,1704,0
37616,0,3,15,57,39576,2,4,21,58,1196,0
35284,1,5,20,52,23408,1,0,5,43,949,1
57101,3,5,31,74,50346,1,1,18,67,1671,1
59849,1,9,44,73,53495,2,2,30,69,1619,1
52563,1,4,22,70,60279,3,11,22,75,1648,0
42899,0,3,11,64,55214,4,7,30,72,1519,0
59854,0,5,34,74,52641,3,4,35,66,1659,1
67752,1,4,26,81,73823,4,10,36,87,2120,0
42451,2,6,24,58,30327,0,0,12,51,1092,1
37004,0,0,17,54,44720,3,5,24,57,1291,0
31833,2,4,12,49,24349,0,0,6,45,928,1
53060,2,9,30,69,41283,0,2,18,61,1386,1
43910,0,3,23,59,50807,2,7,33,63,1396,0
35943,0,1,7,57,51121,3,8,22,70,1437,0
56675,3,8,35,72,48062,0,3,23,62,1525,1
22415,0,0,5,43,35616,0,5,23,49,911,0
44069,0,5,15,63,34758,2,0,14,56,1242,1
48609,0,4,14,68,56552,3,6,26,76,1640,0
28791,0,0,8,49,42067,3,5,26,58,1132,0
46875,1,9,26,62,33015,2,0,9,55,1239,1
68772,1,9,37,82,67513,2,5,35,79,2042,1
40063,0,1,13,60,52095,3,5,38,71,1452,0
40838,2,1,14,60,52733,2,9,23,67,1512,0
43375,1,2,17,62,49060,3,7,23,65,1514,0
58440,1,3,31,75,65749,3,9,38,76,1780,0
44394,1,4,15,63,51498,2,8,21,69,1530,0
55400,0,5,16,71,65264,4,9,33,81,1833,0
34191,0,4,18,47,22109,0,0,5,40,912,1
52604,3,11,32,62,39987,0,1,22,60,1305,1
34680,1,3,28,50,25112,0,0,8,44,913,1
62457,1,9,33,76,52419,3,5,19,69,1675,1
57667,2,7,34,73,53377,1,4,25,68,1594,1
43685,0,4,16,62,53102,2,8,28,70,1405,0
31684,2,2,17,50,26131,0,0,8,47,915,1
68632,1,8,34,80,67967,3,5,29,80,1978,1
40347,2,4,19,57,32460,0,1,9,52,1135,1
69484,4,11,51,80,53086,0,1,25,71,1797,1
24544,0,0,4,45,29180,2,0,13,51,923,0
64911,1,4,18,81,72057,3,11,29,84,2212,0
38667,1,2,9,58,45375,2,4,22,65,1336,0
65485,2,3,26,80,73130,3,7,45,85,2037,0
61046,4,11,31,72,47542,0,2,17,66,1636,1
58492,2,9,32,75,53358,2,5,19,70,1673,1
65175,4,9,40,75,52619,0,3,27,68,1713,1
66527,5,10,33,78,55540,0,3,14,71,1907,1
40821,2,5,17,59,32209,1,0,9,54,1163,1
54622,1,6,30,71,43626,2,2,16,63,1498,1
68225,2,7,31,78,77378,3,9,38,86,2187,0
61744,0,3,25,76,71264,4,8,28,81,2011,0
